run_id,source_file,source_row,version,attack_name,model_id,dataset_name,seed,num_clients,clients_per_round,federated_rounds,local_epochs,max_length,threshold,gradient_threshold,ldp_mechanism,rag_enabled,n,members,nonmembers,tp,fn,fp,tn,tpr,fpr,balanced_accuracy,advantage,auc,constant_prediction,unique_scores
4455f280304a67b7,2-firexport_basic_1789247966014.csv,63,legacy,spv_mia,distilgpt2,squad,7,2,2,1,1,64,0,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
4774edf1bf7a896a,2-firexport_basic_1789247966014.csv,64,legacy,min_k_plus_plus,distilgpt2,medical_medquad,7,2,2,1,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
4775a20726cf24b3,2-firexport_basic_1789247966014.csv,65,legacy,min_k,distilgpt2,squad,7,2,2,1,4,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
4b2a185eeba4bf4e,2-firexport_basic_1789247966014.csv,66,legacy,zlib,distilgpt2,squad,11,2,2,1,1,64,-0.0058,,,False,6,3,3,2,1,0,3,0.6666666666666666,0.0,0.8333333333333333,0.6666666666666666,0.7777777777777778,False,6
4c87436c5c6cb8eb,2-firexport_basic_1789247966014.csv,67,legacy,reference,distilgpt2,squad,7,2,2,1,2,64,0.25,,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,6
512ee0535077eae5,2-firexport_basic_1789247966014.csv,69,legacy,samia,distilgpt2,squad,11,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.8333333333333334,True,5
514ede70d7572eed,2-firexport_basic_1789247966014.csv,70,legacy,recall,distilgpt2,squad,7,2,2,1,1,256,1.05,,,False,6,3,3,2,1,2,1,0.6666666666666666,0.6666666666666666,0.5,0.0,0.6666666666666666,False,6
528bd211d06e93c1,2-firexport_basic_1789247966014.csv,71,legacy,zlib,distilgpt2,hotpot_qa,7,2,2,1,1,64,-0.0058,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
53f70cb09e3bf284,2-firexport_basic_1789247966014.csv,72,legacy,wbc,distilgpt2,squad,7,2,2,1,2,64,0.75,,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,6
56501545954d3eb0,2-firexport_basic_1789247966014.csv,74,legacy,neighborhood,distilgpt2,squad,7,2,2,4,1,64,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
5ec3739fdd1236f1,2-firexport_basic_1789247966014.csv,76,legacy,min_k_plus_plus,distilgpt2,nq_open,7,2,2,1,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
5f3dab9acbbaad84,2-firexport_basic_1789247966014.csv,77,legacy,min_k,distilgpt2,squad,7,2,2,1,2,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
6421279e65afeb22,2-firexport_basic_1789247966014.csv,79,legacy,recall,distilgpt2,trivia_qa,7,2,2,1,1,64,1.05,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
68ee0950b968a6a5,2-firexport_basic_1789247966014.csv,80,legacy,spv_mia,distilgpt2,squad,7,2,2,1,2,64,0,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
6a458efe5375606d,2-firexport_basic_1789247966014.csv,81,legacy,spv_mia,distilgpt2,squad,7,2,2,1,4,64,0,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,1.0,True,6
6d419fac731a09a1,2-firexport_basic_1789247966014.csv,82,legacy,spv_mia,distilgpt2,medical_medquad,7,2,2,1,1,64,0,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,1.0,True,6
6e0ea41c4d886785,2-firexport_basic_1789247966014.csv,83,legacy,min_k,distilgpt2,squad,7,2,2,4,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
6e3490cbcd838398,2-firexport_basic_1789247966014.csv,84,legacy,min_k,distilgpt2,squad,7,2,2,1,1,128,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.6666666666666666,True,6
72c7a58f83f345b7,2-firexport_basic_1789247966014.csv,85,legacy,min_k,distilgpt2,squad,23,2,2,1,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
74eb90a1c22346cb,2-firexport_basic_1789247966014.csv,86,legacy,recall,distilgpt2,medical_medquad,7,2,2,1,1,64,1.05,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.6666666666666666,True,6
75f28371701aa738,2-firexport_basic_1789247966014.csv,87,legacy,samia,distilgpt2,nq_open,7,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.5555555555555556,True,4
7603051caa0206e586145205,2-firexport_basic_1789247966014.csv,88,legacy,amia,distilgpt2,squad,7,2,2,1,1,128,,1e-08,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,2
7687ea56592d3da9,2-firexport_basic_1789247966014.csv,89,legacy,min_k,distilgpt2,squad,42,2,2,1,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.6666666666666666,True,6
7866030d837f7c15,2-firexport_basic_1789247966014.csv,90,legacy,spv_mia,distilgpt2,squad,23,2,2,1,1,64,0,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
79c0d7570606bac8bfa7a034,2-firexport_basic_1789247966014.csv,91,legacy,amia,distilgpt2,corporate_enron,7,2,2,1,1,64,,1e-08,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,2
7a3ef861d363b156,2-firexport_basic_1789247966014.csv,92,legacy,min_k_plus_plus,distilgpt2,squad,7,2,2,4,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
7a8f72848931df6d,2-firexport_basic_1789247966014.csv,93,legacy,zlib,distilgpt2,squad,7,2,2,1,1,128,-0.0058,,,False,6,3,3,1,2,1,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,False,6
7da6be4969389fbb,2-firexport_basic_1789247966014.csv,94,legacy,reference,distilgpt2,squad,7,8,8,1,1,64,0.25,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.8888888888888888,True,6
7ebce0953d0d166f,2-firexport_basic_1789247966014.csv,95,legacy,neighborhood,distilgpt2,squad,7,2,2,1,1,256,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
7fd5a8fb57d6cffe,2-firexport_basic_1789247966014.csv,96,legacy,samia,distilgpt2,squad,23,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
82475907cac55ffb,2-firexport_basic_1789247966014.csv,97,legacy,spv_mia,distilgpt2,corporate_enron,7,2,2,1,1,64,0,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
854e7d422bb6f080,2-firexport_basic_1789247966014.csv,99,legacy,min_k_plus_plus,distilgpt2,squad,7,2,2,1,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
8a4ac8e0c797370d,2-firexport_basic_1789247966014.csv,100,legacy,neighborhood,distilgpt2,nq_open,7,2,2,1,1,64,0.02,,,False,6,3,3,2,1,2,1,0.6666666666666666,0.6666666666666666,0.5,0.0,0.4444444444444444,False,6
8b1ea5586ecec2eb,2-firexport_basic_1789247966014.csv,101,legacy,min_k_plus_plus,distilgpt2,squad,7,2,2,2,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
8d8d52ab43f71e0a10dfc5c1,2-firexport_basic_1789247966014.csv,102,legacy,amia,distilgpt2,squad,7,2,2,1,1,256,,1e-08,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,2
8db483c0dfe4676b,2-firexport_basic_1789247966014.csv,103,legacy,min_k,distilgpt2,medical_medquad,7,2,2,1,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
8eba2ac76b88198a48ef4c7a,2-firexport_basic_1789247966014.csv,104,legacy,amia,distilgpt2,hotpot_qa,7,2,2,1,1,64,,1e-08,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,3
93bcc69a559719db,2-firexport_basic_1789247966014.csv,106,legacy,samia,distilgpt2,hotpot_qa,7,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
952a81adf03b3164,2-firexport_basic_1789247966014.csv,107,legacy,wbc,distilgpt2,squad,7,2,2,1,1,128,0.75,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
961e488f2faba7c5,2-firexport_basic_1789247966014.csv,108,legacy,zlib,distilgpt2,trivia_qa,7,2,2,1,1,64,-0.0058,,,False,6,3,3,1,2,1,2,0.3333333333333333,0.3333333333333333,0.5,0.0,0.6666666666666666,False,6
96ea437c8cfbe19b,2-firexport_basic_1789247966014.csv,109,legacy,recall,distilgpt2,squad,7,2,2,1,1,64,1.05,,,False,6,3,3,2,1,2,1,0.6666666666666666,0.6666666666666666,0.5,0.0,0.6666666666666666,False,6
987dc254a6a200a0,2-firexport_basic_1789247966014.csv,110,legacy,min_k_plus_plus,distilgpt2,squad,7,2,2,1,1,64,-3.25,,,False,100,50,50,49,1,48,2,0.98,0.96,0.51,0.020000000000000018,0.6076,False,100
992060d374b27dc2,2-firexport_basic_1789247966014.csv,111,legacy,zlib,distilgpt2,corporate_enron,7,2,2,1,1,64,-0.0058,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
9932589736a6ac83,2-firexport_basic_1789247966014.csv,112,legacy,samia,distilgpt2,corporate_enron,7,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.6666666666666666,True,6
9a06f5bfce0550ad,2-firexport_basic_1789247966014.csv,113,legacy,neighborhood,distilgpt2,financial_phrasebank,7,2,2,1,1,64,0.02,,,False,6,3,3,2,1,2,1,0.6666666666666666,0.6666666666666666,0.5,0.0,0.6666666666666666,False,6
9c4dce399ce0eafe,2-firexport_basic_1789247966014.csv,114,legacy,min_k_plus_plus,distilgpt2,squad,7,8,8,1,1,64,-3.25,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
9d0da95be20b7a72,2-firexport_basic_1789247966014.csv,116,legacy,wbc,distilgpt2,nq_open,7,2,2,1,1,64,0.75,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,1.0,True,5
9e313f19a1a1c39c,2-firexport_basic_1789247966014.csv,117,legacy,neighborhood,distilgpt2,squad,7,2,2,1,2,64,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
9fe343dfa504e96f,2-firexport_basic_1789247966014.csv,118,legacy,reference,distilgpt2,financial_phrasebank,7,2,2,1,1,64,0.25,,,False,6,3,3,1,2,0,3,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,False,6
a25bbb4013a5de56,2-firexport_basic_1789247966014.csv,121,legacy,neighborhood,distilgpt2,squad,7,2,2,1,1,128,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.6666666666666666,True,6
a3c01181a2b71363,2-firexport_basic_1789247966014.csv,122,legacy,spv_mia,distilgpt2,squad,11,2,2,1,1,64,0,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,1.0,True,6
a45b140ef8b81f83,2-firexport_basic_1789247966014.csv,123,legacy,wbc,distilgpt2,squad,7,2,2,1,1,64,0.75,,,False,6,3,3,3,0,2,1,1.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,1.0,False,6
a5e65499dd4c6115,2-firexport_basic_1789247966014.csv,124,legacy,spv_mia,distilgpt2,trivia_qa,7,2,2,1,1,64,0,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
a98b5ee0a609e1fc,2-firexport_basic_1789247966014.csv,125,legacy,neighborhood,distilgpt2,trivia_qa,7,2,2,1,1,64,0.02,,,False,6,3,3,3,0,3,0,1.0,1.0,0.5,0.0,0.7777777777777778,True,6
a9cb52270da42cf2,2-firexport_basic_1789247966014.csv,126,legacy,samia,distilgpt2,squad,101,2,2,1,1,64,0.5,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.3888888888888889,True,5
aa6fa08da03d6b1204ace91e,2-firexport_basic_1789247966014.csv,127,legacy,amia,distilgpt2,squad,23,2,2,1,1,64,,1e-08,,False,6,3,3,3,0,0,3,1.0,0.0,1.0,1.0,1.0,False,3
abfa345acbf3cdc7,2-firexport_basic_1789247966014.csv,128,legacy,min_k,distilgpt2,hotpot_qa,7,2,2,1,1,64,-4.08,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
adf014c7f50ef6da,2-firexport_basic_1789247966014.csv,131,legacy,recall,distilgpt2,financial_phrasebank,7,2,2,1,1,64,1.05,,,False,6,3,3,0,3,0,3,0.0,0.0,0.5,0.0,0.7777777777777778,True,6
b0258fc79a7bfd37,2-firexport_basic_1789247966014.csv,132,legacy,zlib,distilgpt2,squad,42,2,2,1,1,64,-0.0058,,,False,6,3,3,1,2,0,3,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,False,6
